"Test","URL","Error Count","Error","Error Description"
"lighthouse","url","5420","Web app manifest does not meet the installability requirements","Browsers can proactively prompt users to add your app to their homescreen, which can lead to higher engagement. [Learn more](https://web.dev/installable-manifest)."
"lighthouse","url","5418","Does not register a service worker that controls page and `start_url`","The service worker is the technology that enables your app to use many Progressive Web App features, such as offline, add to homescreen, and push notifications. [Learn more](https://web.dev/service-worker)."
"lighthouse","url","5418","Current page does not respond with a 200 when offline","If you're building a Progressive Web App, consider using a service worker so that your app can work offline. [Learn more](https://web.dev/works-offline)."
"lighthouse","url","5418","`start_url` does not respond with a 200 when offline","A service worker enables your web app to be reliable in unpredictable network conditions. [Learn more](https://web.dev/offline-start-url)."
"lighthouse","url","5418","Includes front-end JavaScript libraries with known security vulnerabilities","Some third-party scripts may contain known security vulnerabilities that are easily identified and exploited by attackers. [Learn more](https://web.dev/no-vulnerable-libraries)."
"lighthouse","url","5418","Document does not have a meta description","Meta descriptions may be included in search results to concisely summarize page content. [Learn more](https://web.dev/meta-description)."
"lighthouse","url","5418","Page is blocked from indexing","Search engines are unable to include your pages in search results if they don't have permission to crawl them. [Learn more](https://web.dev/is-crawable)."
"lighthouse","url","5291","List items (`<li>`) are not contained within `<ul>` or `<ol>` parent elements.","Screen readers require list items (`<li>`) to be contained within a parent `<ul>` or `<ol>` to be announced properly. [Learn more](https://web.dev/listitem/)."
"lighthouse","url","4989","Ensure text remains visible during webfont load","Leverage the font-display CSS feature to ensure text is user-visible while webfonts are loading. [Learn more](https://web.dev/font-display)."
"lighthouse","url","4907","Links to cross-origin destinations are unsafe","Add `rel=""noopener""` or `rel=""noreferrer""` to any external links to improve performance and prevent security vulnerabilities. [Learn more](https://web.dev/external-anchors-use-rel-noopener)."
"lighthouse","url","4897","Estimated Input Latency","Estimated Input Latency is an estimate of how long your app takes to respond to user input, in milliseconds, during the busiest 5s window of page load. If your latency is higher than 50 ms, users may perceive your app as laggy. [Learn more](https://web.dev/estimated-input-latency)."
"lighthouse","url","4897","Reduce the impact of third-party code","Third-party code can significantly impact load performance. Limit the number of redundant third-party providers and try to load third-party code after your page has primarily finished loading. [Learn more](https://developers.google.com/web/fundamentals/performance/optimizing-content-efficiency/loading-third-party-javascript/)."
"lighthouse","url","431","Is not configured for a custom splash screen","A themed splash screen ensures a high-quality experience when users launch your app from their homescreens. [Learn more](https://web.dev/splash-screen)."
"lighthouse","url","429","Does not have a `<meta name=""viewport"">` tag with `width` or `initial-scale`","Add a `<meta name=""viewport"">` tag to optimize your app for mobile screens. [Learn more](https://web.dev/viewport)."
"lighthouse","url","429","Browser errors were logged to the console","Errors logged to the console indicate unresolved problems. They can come from network request failures and other browser concerns. [Learn more](https://web.dev/errors-in-console)"
"lighthouse","url","429","Does not provide a valid `apple-touch-icon`","For ideal appearance on iOS when users add a progressive web app to the home screen, define an `apple-touch-icon`. It must point to a non-transparent 192px (or 180px) square PNG. [Learn More](https://web.dev/apple-touch-icon/)."
"lighthouse","url","429","Does not set a theme color for the address bar.","The browser address bar can be themed to match your site. [Learn more](https://web.dev/themed-omnibox)."
"lighthouse","url","429","Page lacks the HTML doctype, thus triggering quirks-mode","Specifying a doctype prevents the browser from switching to quirks-mode. [Learn more](https://web.dev/doctype)."
"lighthouse","url","429","Uses `document.write()`","For users on slow connections, external scripts dynamically injected via `document.write()` can delay page load by tens of seconds. [Learn more](https://web.dev/no-document-write)."
"lighthouse","url","302","Does not use HTTPS","All sites should be protected with HTTPS, even ones that don't handle sensitive data. HTTPS prevents intruders from tampering with or passively listening in on the communications between your app and your users, and is a prerequisite for HTTP/2 and many new web platform APIs. [Learn more](https://web.dev/is-on-https)."
"lighthouse","url","5","Content is not sized correctly for the viewport","If the width of your app's content doesn't match the width of the viewport, your app might not be optimized for mobile screens. [Learn more](https://web.dev/content-width)."
"lighthouse","url","5","Document doesn't use legible font sizes","Font sizes less than 12px are too small to be legible and require mobile visitors to “pinch to zoom” in order to read. Strive to have >60% of page text ≥12px. [Learn more](https://web.dev/font-size)."
"lighthouse","url","5","Tap targets are not sized appropriately","Interactive elements like buttons and links should be large enough (48x48px), and have enough space around them, to be easy enough to tap without overlapping onto other elements. [Learn more](https://web.dev/tap-targets)."
"lighthouse","url","1","Image elements do not have `[alt]` attributes","Informative elements should aim for short, descriptive alternate text. Decorative elements can be ignored with an empty alt attribute. [Learn more](https://web.dev/image-alt/)."
