"Address","Content","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","URL Encoded Address"
"https://www.drupal.com/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Drupal | A CMS platform for great digital experiences","53","466","Drupal is a scalable, open platform for web content management and digital experiences. Drupal provides deep capabilities and endless flexibility on the web.","157","987","","0","","0","","0","Mega Menu","9","Who Uses Drupal?","16","","","","http://www.drupal.com/","","","","","42721","962","14.574547","1","","61","59","100.0","24","17","","","7df88e32963349b44b504a70368373f3","0.078","Sun, 19 Jul 2020 07:07:42 GMT","","","https://www.drupal.com/"
"https://www.drupal.com/contact/case-study-submission","text/html; charset=UTF-8","200","OK","Indexable","","Case Study Submission | Drupal.com","34","325","Drupal is a scalable, open platform for web content management and digital experiences. Drupal provides deep capabilities and endless flexibility on the web.","157","987","","0","Case Study Submission","21","","0","Mega Menu","9","Share Your Drupal Case Study with Drupal.com","44","","","","","","","","","36780","643","11.055495","2","","61","59","100.0","22","19","","","5f4163bb02a0b709892dca086045d1ba","0.167","Sun, 19 Jul 2020 05:04:05 GMT","","","https://www.drupal.com/contact/case-study-submission"
"https://www.drupal.com/contact","text/html; charset=UTF-8","200","OK","Indexable","","General Inquiries | Drupal.com","30","267","Drupal is a scalable, open platform for web content management and digital experiences. Drupal provides deep capabilities and endless flexibility on the web.","157","987","","0","General Inquiries","17","","0","Mega Menu","9","","0","","","","","","","","","34855","389","7.2635956","2","","68","59","100.0","22","18","","","ed5a0706903a7655d6842f19315d0ef8","0.136","Sun, 19 Jul 2020 07:19:29 GMT","","","https://www.drupal.com/contact"
"https://www.drupal.com/feature/multilingual","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Multilingual | Drupal.com","25","213","Drupal is a scalable, open platform for web content management and digital experiences. Drupal provides deep capabilities and endless flexibility on the web.","157","987","","0","Multilingual","12","","0","Mega Menu","9","Drupal: The Multilingual Platform","33","","","","http://www.drupal.com/feature/multilingual","","","","","36203","733","13.549813","2","","62","59","100.0","19","17","","","bec1b50d6a7106139df18fc0a7f5640f","0.159","Sun, 19 Jul 2020 02:51:03 GMT","","","https://www.drupal.com/feature/multilingual"
"https://www.drupal.com/feature/drupal-content-authoring","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Easy Content Authoring | Drupal.com","35","324","Drupal is a scalable, open platform for web content management and digital experiences. Drupal provides deep capabilities and endless flexibility on the web.","157","987","","0","Easy Content Authoring","22","","0","Mega Menu","9","Content management at your fingertips","37","","","","http://www.drupal.com/feature/drupal-content-authoring","","","","","36322","653","11.49153","2","","62","59","100.0","19","17","","","330f13c4fafa6909b4646b8eab9d6a45","0.146","Sun, 19 Jul 2020 15:18:58 GMT","","","https://www.drupal.com/feature/drupal-content-authoring"
"https://www.drupal.com/case-study/economist-espresso-app-drupal","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","The Economist’s Espresso news app | Drupal.com","46","442","Drupal is a scalable, open platform for web content management and digital experiences. Drupal provides deep capabilities and endless flexibility on the web.","157","987","","0","The Economist’s Espresso news app","33","","0","Mega Menu","9","The Challenge","13","","","","http://www.drupal.com/case-study/economist-espresso-app-drupal","","","","","86090","2585","19.03843","2","","97","59","100.0","51","46","","","505e046864e588b0f64794c1d2bb5e8a","0.137","Sun, 19 Jul 2020 06:03:54 GMT","","","https://www.drupal.com/case-study/economist-espresso-app-drupal"
"https://www.drupal.com/advertise","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Advertise | Drupal.com","22","200","Drupal.com accepts selected advertisements, allowing you to associate your product or firm with the Drupal brand in a unique and meaningful way.","144","921","","0","Advertise","9","","0","Mega Menu","9","","0","","","","http://www.drupal.com/advertise","","","","","32813","751","14.964783","2","","61","59","100.0","20","17","","","cee685244158c901f8cb8b22cfb7dccd","0.207","Sun, 19 Jul 2020 10:47:33 GMT","","","https://www.drupal.com/advertise"
"https://www.drupal.com/product/web-content-management","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","What is Drupal? | Drupal for Web Content Management","51","486","Drupal is a free, open-source web content management platform for content, community and commerce. Drupal powers some of the busiest sites on the web including WhiteHouse.gov, Stanford University, Warner Music Group and teslamotors.com.","236","1554","","0","Drupal for Web Content Management","33","Drupal for Web Content Management","33","Mega Menu","9","Real World Results","18","","","","http://www.drupal.com/product/web-content-management","","","","","52502","1452","18.3633","2","","62","59","100.0","25","17","","","bf4598ed4f443dfdc2baa1d6dd599fa","0.131","Sun, 19 Jul 2020 11:50:31 GMT","","","https://www.drupal.com/product/web-content-management"
"https://www.drupal.com/why-use-drupal","text/html; charset=UTF-8","200","OK","Indexable","","Why Use Drupal | Drupal.com","27","260","Drupal is a scalable, open platform for web content management and digital experiences. Drupal provides deep capabilities and endless flexibility on the web.","157","987","","0","Why Use Drupal","14","","0","Mega Menu","9","Web Content Management","22","","","","","","","","","31607","436","9.064152","2","","62","59","100.0","21","17","","","c3470bda7ab964248f3a338fef1aa194","0.172","Sun, 19 Jul 2020 05:15:36 GMT","","","https://www.drupal.com/why-use-drupal"
"https://www.drupal.com/trademark","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Drupal trademark and logo policy | Drupal.com","45","408","The Drupal trademark is owned and controlled by Dries Buytaert, who cooperates with the Drupal Association and local non-profit associations to foster the use of the Drupal software.","182","1149","","0","Drupal trademark and logo policy","32","","0","Mega Menu","9","1. Background information","25","","","","http://www.drupal.com/trademark","","","","","50906","3230","40.703617","2","","61","59","100.0","24","22","","","b7acc8afdce711d22417e03eae023196","0.163","Sun, 19 Jul 2020 09:01:54 GMT","","","https://www.drupal.com/trademark"
