"Test","URL","Error Count","Error","Error Description"
"axe_c_summary","url","150","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe_c_summary","url","111","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe_c_summary","url","96","Form elements must have labels","Ensures every form element has a label"
"axe_c_summary","url","94","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe_c_summary","url","80","Page must contain a level-one heading","Ensure that the page, or at least one of its frames contains a level-one heading"
"axe_c_summary","url","80","The skip-link target should exist and be focusable","Ensure all skip links have a focusable target"
"axe_c_summary","url","46","Elements must have sufficient color contrast","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds"
"axe_c_summary","url","45","<html> element must have a lang attribute","Ensures every HTML document has a lang attribute"
"axe_c_summary","url","43","Documents must have <title> element to aid in navigation","Ensures each HTML document contains a non-empty <title> element"
"axe_c_summary","url","42","Page must not have more than one banner landmark","Ensures the page has at most one banner landmark"
"axe_c_summary","url","31","IDs used in ARIA and labels must be unique","Ensures every id attribute value used in ARIA and in labels is unique"
"axe_c_summary","url","29","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe_c_summary","url","23","id attribute value must be unique","Ensures every id attribute value is unique"
"axe_c_summary","url","20","Zooming and scaling must not be disabled","Ensures <meta name=""viewport""> does not disable text scaling and zooming"
"axe_c_summary","url","15","Links must have discernible text","Ensures links have discernible text"
"axe_c_summary","url","9","Required ARIA attributes must be provided","Ensures elements with ARIA roles have all required ARIA attributes"
"axe_c_summary","url","9","ARIA attributes must conform to valid values","Ensures all ARIA attributes have valid values"
"axe_c_summary","url","7","IDs of active elements must be unique","Ensures every id attribute value of active elements is unique"
"axe_c_summary","url","6","Images must have alternate text","Ensures <img> elements have alternate text or a role of none or presentation"
"axe_c_summary","url","6","Headings must not be empty","Ensures headings have discernible text"
"axe_c_summary","url","5","autocomplete attribute must be used correctly","Ensure the autocomplete attribute is correct and suitable for the form field"
"axe_c_summary","url","5","Buttons must have discernible text","Ensures buttons have discernible text"
"axe_c_summary","url","5","Frames must have title attribute","Ensures <iframe> and <frame> elements contain a non-empty title attribute"
"axe_c_summary","url","5","<dl> elements must only directly contain properly-ordered <dt> and <dd> groups, <script> or <template> elements","Ensures <dl> elements are structured correctly"
"axe_c_summary","url","4","<li> elements must be contained in a <ul> or <ol>","Ensures <li> elements are used semantically"
"axe_c_summary","url","3","ARIA attributes must conform to valid names","Ensures attributes that begin with aria- are valid ARIA attributes"
"axe_c_summary","url","3","Elements should not have tabindex greater than zero","Ensures tabindex attribute values are not greater than 0"
"axe_c_summary","url","2","Certain ARIA roles must contain particular children","Ensures elements with an ARIA role that require child roles contain them"
"axe_c_summary","url","2","Page must not have more than one contentinfo landmark","Ensures the page has at most one contentinfo landmark"
"axe_c_summary","url","2","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly"
"axe_c_summary","url","2","Form elements should have a visible label","Ensures that every form element is not solely labeled using the title or aria-describedby attributes"
"axe_c_summary","url","2","Elements must only use allowed ARIA attributes","Ensures ARIA attributes are allowed for an element's role"
"axe_c_summary","url","2","Banner landmark must not be contained in another landmark","Ensures the banner landmark is at top level"
"axe_c_summary","url","2","Certain ARIA roles must be contained by particular parents","Ensures elements with an ARIA role that require parent roles are contained by them"
"axe_c_summary","url","1","Checkbox inputs with the same name attribute value must be part of a group","Ensures related <input type=""checkbox""> elements have a group and that the group designation is consistent"
"axe_c_summary","url","1","Radio inputs with the same name attribute value must be part of a group","Ensures related <input type=""radio""> elements have a group and that the group designation is consistent"
"axe_c_summary","url","1","lang attribute must have a valid value","Ensures lang attributes have valid values"
"axe_c_summary","url","1","Frames must have a unique title attribute","Ensures <iframe> and <frame> elements contain a unique title attribute"
"axe_c_summary","url","1","Users should be able to zoom and scale the text up to 500%","Ensures <meta name=""viewport""> can scale a significant amount"
"axe_c_summary","url","1","Text of buttons and links should not be repeated in the image alternative","Ensure button and link text is not repeated as image alternative"
"axe_c_summary","url","1","ARIA roles used must conform to valid values","Ensures all elements with a role attribute use a valid value"
"axe_c_summary","url","1","<dt> and <dd> elements must be contained by a <dl>","Ensures <dt> and <dd> elements are contained by a <dl>"
