"test","browser","url","score","title","description"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/index-eng.htm","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/index-eng.htm","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/index-eng.htm","0","Links must have discernible text","Ensures links have discernible text"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/index-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/firearms","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/firearms","0","Images must have alternate text","Ensures <img> elements have alternate text or a role of none or presentation"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/firearms","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en","0","<li> elements must be contained in a <ul> or <ol>","Ensures <li> elements are used semantically"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en","0","Page must contain a level-one heading","Ensure that the page, or at least one of its frames contains a level-one heading"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en","0","The skip-link target should exist and be focusable","Ensure all skip links have a focusable target"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fr","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fr","0","<li> elements must be contained in a <ul> or <ol>","Ensures <li> elements are used semantically"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fr","0","Page must contain a level-one heading","Ensure that the page, or at least one of its frames contains a level-one heading"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fr","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fr","0","The skip-link target should exist and be focusable","Ensure all skip links have a focusable target"
"axe","Chrome","https://www.rcmp-grc.gc.ca/","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/","0","<li> elements must be contained in a <ul> or <ol>","Ensures <li> elements are used semantically"
"axe","Chrome","https://www.rcmp-grc.gc.ca/","0","Page must contain a level-one heading","Ensure that the page, or at least one of its frames contains a level-one heading"
"axe","Chrome","https://www.rcmp-grc.gc.ca/","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/","0","The skip-link target should exist and be focusable","Ensure all skip links have a focusable target"
"axe","Chrome","https://www.rcmp-grc.gc.ca/cont/index-eng.htm","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Chrome","https://www.rcmp-grc.gc.ca/cont/index-eng.htm","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","Chrome","https://www.rcmp-grc.gc.ca/cont/index-eng.htm","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/ptsd-tspt-eng.htm?fe","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/ptsd-tspt-eng.htm?fe","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/ptsd-tspt-eng.htm?fe","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/fam/ptsd-tspt-eng.htm?fe","0","The skip-link target should exist and be focusable","Ensure all skip links have a focusable target"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/az-index","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/az-index","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/even/en/t/2/e","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/even/en/t/2/e","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/wanted","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/wanted","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/national-security-information-network","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/national-security-information-network","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.rcmp-grc.gc.ca/en/firearms/licensing","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
